ibgeCode,state,pop2019,pop2020
12,AC,881935,894470
27,AL,3337357,3351543
13,AM,4144597,4207714
16,AP,845731,861773
29,BA,14873064,14930634
23,CE,9132078,9187103
53,DF,3015268,3055149
32,ES,4018650,4064052
52,GO,7018354,7113540
21,MA,7075181,7114598
31,MG,21168791,21292666
50,MS,2778986,2809394
51,MT,3484466,3526220
15,PA,8602865,8690745
25,PB,4018127,4039277
26,PE,9557071,9616621
22,PI,3273227,3281480
41,PR,11433957,11516840
33,RJ,17264943,17366189
24,RN,3506853,3534165
11,RO,1777225,1796460
14,RR,605761,631181
43,RS,11377239,11422973
42,SC,7164788,7252502
28,SE,2298696,2318822
35,SP,45919049,46289333
17,TO,1572866,1590248
